episode_id,split,shard,hdf5_group,steps,success,failure_reason,completion_time_s,total_reward,parallel_batch_index,parallel_env_index,parallel_num_envs,domain_randomization,object_x_m,object_y_m,object_yaw_deg,object_mass_kg,static_friction,dynamic_friction,camera_applied,source_episode_path,source_trajectory_sha256
1,train,shards/shard_00000.h5,/episodes/episode_000001,120,True,none,2.4,6.146170883450395,0,0,128,True,0.5526127132840358,0.04410773338958496,-114.24302649913591,0.13849407980536033,0.5241019510502377,0.4103704610447613,False,episode_000001,10aa03b8e367e4eac2473f3045e5f3eb79085b1506409d36223e883b0ebd98e5
2,train,shards/shard_00000.h5,/episodes/episode_000002,121,True,none,2.42,6.026103907807737,0,1,128,True,0.5818621271556732,-0.08877112276476547,20.8153949722103,0.1967611389690846,0.562260697621529,0.4860181853548439,False,episode_000002,293fe9335ae6bd121b4fd38df536c19c71f6345957d55567c68c891d2e0b4856
3,train,shards/shard_00000.h5,/episodes/episode_000003,120,True,none,2.4,6.1136306240805425,0,2,128,True,0.49169259470054966,-0.10596582943029205,-42.30450300963156,0.12965335896007052,0.5564629946034385,0.4313779534693598,False,episode_000003,ddffe96b9736562aabb1dfb91a695722d07c158c112ffe8752f56ee549918c3a
4,train,shards/shard_00000.h5,/episodes/episode_000004,120,True,none,2.4,6.151524789003815,0,3,128,True,0.5567409194713138,0.02730016784705583,18.68530330074981,0.0991716703311052,0.5948273026616416,0.48688260237285846,False,episode_000004,1c0828c945109d2a5d4c950e4e7bcf5c874823e53059d571f87a51718b9d859d
5,train,shards/shard_00000.h5,/episodes/episode_000005,120,True,none,2.4,6.083955942465764,0,4,128,True,0.49876777421608215,-0.07946506788828858,58.334174180017555,0.058114415219934185,0.5901183323834109,0.41670832699281585,False,episode_000005,0ef08437062f017389a983c179b12ee086980beb19feb128070e8d6a2b3b1020
6,train,shards/shard_00000.h5,/episodes/episode_000006,121,True,none,2.42,6.034512123470449,0,5,128,True,0.5870628982490994,-0.06220501823663924,-43.38190794135397,0.13574527947948858,0.8832834616652759,0.623176862434818,False,episode_000006,1c5e52cf004bba4c89493ee01f762614892a9787558fe9186d71db81b7c7d820
7,validation,shards/shard_00000.h5,/episodes/episode_000007,123,True,none,2.46,6.1341031034171465,0,6,128,True,0.5996127696764424,0.09197130863391165,91.33545618114067,0.11392276331336659,0.8961214865857781,0.6826215730827573,False,episode_000007,639deff2e19a4a21a3b6fdfa468b980a4b29c794b404eded49f8d86140e1d082
8,train,shards/shard_00000.h5,/episodes/episode_000008,124,True,none,2.48,5.936748984037422,0,7,128,True,0.6135145792161663,0.11104104229119699,29.86597226218049,0.09967175822785607,0.9487512725204654,0.8372373188611967,False,episode_000008,786bf38110941a4c833e7d41fcfc162081616438e006da06187df772754901c2
9,test,shards/shard_00000.h5,/episodes/episode_000009,120,True,none,2.4,6.193013106481885,0,8,128,True,0.5114571363140739,0.05763808816486904,-175.16877021083104,0.06831022090847853,0.683695437693971,0.6027666141214739,False,episode_000009,cac012806010012964706f9aaf132e077a3499351c25ca02a16c5f3a2fd3538a
10,train,shards/shard_00000.h5,/episodes/episode_000010,120,True,none,2.4,5.9546081409207545,0,9,128,True,0.5556860438017683,-0.09639775234010023,120.50178724267238,0.16949733715758203,0.6774004468060151,0.5776829728306332,False,episode_000010,e5066bb148207da95791991a6d7c9a19bb185eb016341fa082754bf8027f598a
11,train,shards/shard_00000.h5,/episodes/episode_000011,120,True,none,2.4,6.2023535497173725,0,10,128,True,0.5209030824981541,0.04140634588733652,-86.94419456496954,0.06302274105848032,0.7805499097282294,0.6328909454154786,False,episode_000011,b67c533a098c7b7e12419f8e3a8370d0403ac1da0fec63309802378836268837
12,validation,shards/shard_00000.h5,/episodes/episode_000012,119,True,none,2.38,6.041232439967644,0,11,128,True,0.4918715385675935,0.05274086032680242,-94.94431491965521,0.13320259638145704,0.8300436250162413,0.742124695290087,False,episode_000012,806cf7510a1b1f4a12339790158caa9b4c12421115a113da5ccfd73c9832ec16
13,test,shards/shard_00000.h5,/episodes/episode_000013,119,True,none,2.38,6.178174224882241,0,12,128,True,0.5399583625341638,0.02663847723883181,88.5568053275519,0.06886397673473506,0.9250557461514314,0.7259906430770768,False,episode_000013,d50baec7b4ea75d5f916bcc020ae3711c55765b751aad39ef5031b59f73b97d0
14,test,shards/shard_00000.h5,/episodes/episode_000014,123,True,none,2.46,6.173037671586826,0,13,128,True,0.6031574538458859,-0.057160607393919385,-67.27046667939287,0.19055682281718628,0.8223164904475702,0.6600692172246789,False,episode_000014,97f4973e81ed667ea35022a2afed3565e686f461ed534efa2ab0f120f0853a3d
15,test,shards/shard_00000.h5,/episodes/episode_000015,120,True,none,2.4,6.083321210692702,0,14,128,True,0.5372248826094242,-0.09052306721044863,-77.98253245313475,0.19077192558042733,0.7711581819675769,0.6946024705467535,False,episode_000015,706a7a1e65639c4aa95d0a04b54f6b2efb0219bb35d894dfe0f9088b4546644f
16,train,shards/shard_00000.h5,/episodes/episode_000016,120,True,none,2.4,6.206406835552116,0,15,128,True,0.5062873990333511,-0.04863432090508503,-74.38846586880481,0.1896828901673424,0.6910663628814059,0.5535915823348194,False,episode_000016,9e5d1e316d5074fb544da97d79efe77388583e29601334f2fad66f09ecd16931
